,City,Price,Area,Location,bhk
457,Bangalore,9324000.0,980.0,Bangalore Banashankari,2.0
458,Bangalore,5900000.0,1338.0,Bangalore Banashankari,2.0
459,Bangalore,9324000.0,981.0,Bangalore Banashankari,2.0
461,Bangalore,6859999.0,982.0,Bangalore Banashankari,2.0
462,Bangalore,6859999.0,982.0,Bangalore Banashankari,2.0
463,Bangalore,9324000.0,979.0,Bangalore Banashankari,2.0
465,Bangalore,9345000.0,985.0,Bangalore Banashankari,2.0
466,Bangalore,6859999.0,1339.0,Bangalore Banashankari,2.0
467,Bangalore,9324000.0,982.0,Bangalore Banashankari,2.0
469,Bangalore,6859999.0,982.0,Bangalore Banashankari,2.0
470,Bangalore,9324000.0,980.0,Bangalore Banashankari,2.0
471,Bangalore,5500000.0,1333.0,Bangalore Banashankari,2.0
472,Bangalore,28900000.0,3033.0,Bangalore Banashankari,4.0
476,Bangalore,21400000.0,2376.0,Bangalore Banashankari,3.0
477,Bangalore,22700000.0,2376.0,Bangalore Banashankari,3.0
478,Bangalore,22400000.0,2522.0,Bangalore Banashankari,3.0
479,Bangalore,27300000.0,2480.0,Bangalore Banashankari,3.0
480,Bangalore,21400000.0,2522.0,Bangalore Banashankari,3.0
481,Bangalore,21500000.0,2376.0,Bangalore Banashankari,3.0
482,Bangalore,18800000.0,2480.0,Bangalore Banashankari,3.0
483,Bangalore,5004000.0,1040.0,Bangalore Banashankari,2.0
484,Bangalore,20900000.0,2378.0,Bangalore Banashankari,3.0
487,Bangalore,7506999.0,1155.0,Bangalore Banaswadi,2.0
488,Bangalore,6531999.0,1005.0,Bangalore Banaswadi,2.0
489,Bangalore,9457000.0,1455.0,Bangalore Banaswadi,3.0
490,Bangalore,9035000.0,1390.0,Bangalore Banaswadi,3.0
491,Bangalore,6662000.0,1025.0,Bangalore Banaswadi,2.0
492,Bangalore,7181999.0,1105.0,Bangalore Banaswadi,2.0
493,Bangalore,7377000.0,1135.0,Bangalore Banaswadi,2.0
494,Bangalore,9685000.0,1160.0,Bangalore Banaswadi,2.0
496,Bangalore,5150000.0,1100.0,Bangalore Banaswadi,2.0
497,Bangalore,5175000.0,1110.0,Bangalore Banaswadi,2.0
499,Bangalore,4950000.0,710.0,Bangalore Banaswadi,2.0
500,Bangalore,5107000.0,1100.0,Bangalore Banaswadi,2.0
503,Bangalore,7456000.0,1252.0,Bangalore Banaswadi,2.0
504,Bangalore,4700000.0,1312.0,Bangalore Banaswadi,2.0
508,Bangalore,5520000.0,1120.0,Bangalore Banaswadi,2.0
509,Bangalore,4133000.0,1100.0,Bangalore Banaswadi,2.0
510,Bangalore,5383000.0,1185.0,Bangalore Banaswadi,2.0
512,Bangalore,5242000.0,1120.0,Bangalore Basaveswarnagar,2.0
514,Bangalore,5422000.0,1090.0,Bangalore Basaveswarnagar,2.0
516,Bangalore,5062000.0,1230.0,Bangalore Basaveswarnagar,2.0
517,Bangalore,7155000.0,1165.0,Bangalore Basaveswarnagar,2.0
518,Bangalore,5107000.0,1145.0,Bangalore Basaveswarnagar,2.0
519,Bangalore,5040000.0,1205.0,Bangalore Basaveswarnagar,2.0
520,Bangalore,6345000.0,1150.0,Bangalore Basaveswarnagar,2.0
521,Bangalore,3030000.0,1125.0,Bangalore Basaveswarnagar,2.0
523,Bangalore,5782000.0,740.0,Bangalore Basaveswarnagar,1.0
524,Bangalore,4995000.0,1110.0,Bangalore Basaveswarnagar,2.0
525,Bangalore,4702000.0,1050.0,Bangalore Basaveswarnagar,2.0
528,Bangalore,7581999.0,1075.0,Bangalore Basaveswarnagar,2.0
529,Bangalore,6120000.0,1285.0,Bangalore Basaveswarnagar,2.0
530,Bangalore,4900000.0,1187.0,Bangalore Begur,2.0
531,Bangalore,4900000.0,1187.0,Bangalore Begur,2.0
532,Bangalore,8868000.0,1245.0,Bangalore Begur,2.0
533,Bangalore,5426000.0,1080.0,Bangalore Begur,2.0
534,Bangalore,11000000.0,1805.0,Bangalore Begur,3.0
535,Bangalore,11399999.0,1880.0,Bangalore Begur,3.0
536,Bangalore,13000000.0,2180.0,Bangalore Begur,4.0
537,Bangalore,11299999.0,1850.0,Bangalore Begur,3.0
538,Bangalore,4500000.0,1097.0,Bangalore Begur,2.0
